ticker,name,sector,industry,company_type,cik,type_signal
MMM,3M,Industrials,Industrial Conglomerates,Mature,66740,3yr rev CAGR -10%
AOS,A. O. Smith,Industrials,Building Products,Mature,91142,3yr rev CAGR 1%
ABT,Abbott Laboratories,Healthcare,Health Care Equipment,Mature,1800,3yr rev CAGR 1%
ABBV,AbbVie,Healthcare,Biotechnology,Mature,1551152,3yr rev CAGR 2%
ACN,Accenture,Technology,IT Consulting & Other Services,Mature,1467373,3yr rev CAGR 4%
ADBE,Adobe Inc.,Technology,Application Software,Mature,796343,3yr rev CAGR 11%
AMD,Advanced Micro Devices,Technology,Semiconductors,Mature,2488,3yr rev CAGR 14%
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Mature,874761,3yr rev CAGR -1%
AFL,Aflac,Financials,Life & Health Insurance,Mature,4977,3yr rev CAGR -4%
A,Agilent Technologies,Healthcare,Life Sciences Tools & Services,Mature,1090872,3yr rev CAGR 0%
APD,Air Products,Materials,Industrial Gases,Mature,2969,3yr rev CAGR -2%
ABNB,Airbnb,Consumer,"Hotels, Resorts & Cruise Lines",Mature,1559720,3yr rev CAGR 13%
AKAM,Akamai Technologies,Technology,Internet Services & Infrastructure,Mature,1086222,3yr rev CAGR 8%
ALB,Albemarle Corporation,Materials,Specialty Chemicals,Mature,915913,3yr rev CAGR -11%
ARE,Alexandria Real Estate Equities,REIT,Office REITs,Mature,1035443,sparse
ALGN,Align Technology,Healthcare,Health Care Supplies,Mature,1097149,3yr rev CAGR 3%
ALLE,Allegion,Industrials,Building Products,Mature,1579241,3yr rev CAGR 8%
LNT,Alliant Energy,Utilities,Electric Utilities,Mature,352541,3yr rev CAGR 1%
ALL,Allstate,Financials,Property & Casualty Insurance,Mature,899051,3yr rev CAGR 10%
GOOGL,Alphabet Inc. (Class A),Technology,Interactive Media & Services,Mature,1652044,3yr rev CAGR 13%
GOOG,Alphabet Inc. (Class C),Technology,Interactive Media & Services,Mature,1652044,3yr rev CAGR 13%
MO,Altria,Consumer,Tobacco,Mature,764180,3yr rev CAGR -2%
AMZN,Amazon,Consumer,Broadline Retail,Mature,1018724,3yr rev CAGR 12%
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,High-Growth,1748790,3yr rev CAGR 17%
AEE,Ameren,Utilities,Multi-Utilities,Mature,1002910,3yr rev CAGR 3%
AEP,American Electric Power,Utilities,Electric Utilities,Mature,4904,3yr rev CAGR 4%
AXP,American Express,Financials,Consumer Finance,Mature,4962,3yr rev CAGR 6%
AIG,American International Group,Financials,Multi-line Insurance,Mature,5272,3yr rev CAGR -22%
AMT,American Tower,REIT,Telecom Tower REITs,Mature,1053507,3yr rev CAGR 3%
AWK,American Water Works,Utilities,Water Utilities,Mature,1410636,3yr rev CAGR 11%
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,Mature,820027,3yr rev CAGR 10%
AME,Ametek,Industrials,Electrical Components & Equipment,Mature,1037868,3yr rev CAGR 6%
AMGN,Amgen,Healthcare,Biotechnology,Mature,318154,3yr rev CAGR 12%
APH,Amphenol,Technology,Electronic Components,High-Growth,820313,3yr rev CAGR 22%
ADI,Analog Devices,Technology,Semiconductors,Mature,6281,3yr rev CAGR -3%
AON,Aon plc,Financials,Insurance Brokers,Mature,315293,3yr rev CAGR 11%
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,Mature,1841666,sparse
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,High-Growth,1858681,3yr rev CAGR 43%
AAPL,Apple Inc.,Technology,"Technology Hardware, Storage & Peripherals",Mature,320193,3yr rev CAGR 2%
AMAT,Applied Materials,Technology,Semiconductor Materials & Equipment,Mature,6951,3yr rev CAGR 3%
APP,AppLovin,Technology,Advertising,High-Growth,1751008,3yr rev CAGR 25%
APTV,Aptiv,Consumer,Automotive Parts & Equipment,Mature,1521332,3yr rev CAGR 5%
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,High-Growth,947484,3yr rev CAGR 28%
ADM,Archer Daniels Midland,Consumer,Agricultural Products & Services,Mature,7084,3yr rev CAGR -3%
ARES,Ares Management,Financials,Asset Management & Custody Banks,High-Growth,1176948,3yr rev CAGR 22%
ANET,Arista Networks,Technology,Communications Equipment,High-Growth,1596532,3yr rev CAGR 27%
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,High-Growth,354190,3yr rev CAGR 18%
