ticker,sector,total_concepts,revenue,cogs,gross_profit,ebit,ebitda,net_income,cfo,capex,fcf,interest_expense,dividends_paid,buybacks,debt_repaid,total_assets,total_liabilities,equity,current_assets,current_liabilities,working_capital,retained_earnings,cash,total_debt,preferred_equity,shares_outstanding,receivables,net_ppe,sga,coverage_pct,screenable,missing_core
A,Healthcare,770,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,100.0,True,
AAPL,Technology,503,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,OK,OK,OK,96.3,True,
ABBV,Healthcare,454,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,OK,OK,OK,96.3,True,
ABNB,Consumer,361,OK,OK,OK,OK,OK,OK,OK,THIN,THIN,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,MISSING,MISSING,OK,OK,85.2,True,
ABT,Healthcare,476,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,100.0,True,
ACGL,Financials,562,OK,N/A,N/A,OK,OK,OK,OK,OK,OK,OK,THIN,OK,MISSING,OK,OK,OK,N/A,N/A,N/A,OK,OK,MISSING,OK,OK,MISSING,MISSING,OK,85.2,True,
ACN,Technology,451,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,THIN,OK,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,MISSING,OK,OK,OK,92.6,True,
ADBE,Technology,559,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,96.3,True,
ADI,Technology,680,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,THIN,OK,OK,OK,OK,OK,100.0,True,
ADM,Consumer,671,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,MISSING,OK,OK,OK,92.6,True,
ADP,Industrials,683,OK,OK,OK,OK,OK,OK,OK,MISSING,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,92.6,True,
ADSK,Technology,629,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,96.3,True,
AEE,Utilities,569,OK,MISSING,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,THIN,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,OK,THIN,OK,OK,OK,MISSING,85.2,True,
AEP,Utilities,633,OK,MISSING,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,OK,OK,MISSING,81.5,True,
AES,Utilities,771,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,OK,OK,OK,OK,92.6,True,
AFL,Financials,601,OK,N/A,N/A,OK,OK,OK,OK,MISSING,MISSING,OK,OK,OK,OK,OK,OK,OK,N/A,N/A,N/A,OK,OK,MISSING,MISSING,OK,MISSING,OK,OK,81.5,True,
AIG,Financials,950,OK,N/A,N/A,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,N/A,N/A,N/A,OK,OK,OK,OK,OK,MISSING,OK,OK,96.3,True,
AIZ,Financials,800,OK,N/A,N/A,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,N/A,N/A,N/A,OK,OK,OK,OK,OK,MISSING,OK,OK,96.3,True,
AJG,Financials,522,OK,N/A,N/A,OK,OK,OK,OK,OK,OK,OK,OK,OK,THIN,OK,OK,OK,N/A,N/A,N/A,OK,OK,OK,MISSING,OK,THIN,OK,MISSING,92.6,True,
AKAM,Technology,546,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,OK,OK,OK,OK,92.6,True,
ALB,Materials,683,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,THIN,OK,OK,OK,OK,100.0,True,
ALGN,Healthcare,514,OK,OK,OK,OK,OK,OK,OK,OK,OK,THIN,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,OK,OK,OK,OK,88.9,True,
ALL,Financials,702,OK,N/A,N/A,THIN,THIN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,N/A,N/A,N/A,OK,OK,OK,OK,OK,MISSING,OK,MISSING,92.6,True,
ALLE,Industrials,484,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,OK,OK,OK,96.3,True,
AMAT,Technology,709,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,100.0,True,
AMCR,Materials,547,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,OK,OK,OK,96.3,True,
AMD,Technology,781,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,OK,OK,OK,92.6,True,
AME,Industrials,528,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,100.0,True,
AMGN,Healthcare,475,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,OK,OK,OK,96.3,True,
AMP,Financials,773,OK,N/A,N/A,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,N/A,N/A,N/A,OK,OK,MISSING,MISSING,OK,THIN,OK,OK,92.6,True,
AMT,REIT,702,OK,N/A,N/A,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,N/A,N/A,N/A,OK,OK,OK,THIN,OK,OK,OK,OK,100.0,True,
AMZN,Consumer,545,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,96.3,True,
ANET,Technology,449,OK,OK,OK,OK,OK,OK,OK,OK,OK,THIN,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,THIN,OK,OK,OK,OK,OK,92.6,True,
AON,Financials,621,OK,N/A,N/A,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,N/A,N/A,N/A,OK,OK,OK,MISSING,OK,OK,OK,MISSING,92.6,True,
AOS,Industrials,510,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,100.0,True,
APA,Energy,360,MISSING,MISSING,MISSING,OK,OK,OK,OK,THIN,THIN,OK,OK,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,OK,OK,OK,81.5,False,revenue
APD,Materials,824,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,OK,OK,OK,96.3,True,
APH,Technology,450,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,OK,OK,OK,96.3,True,
APO,Financials,353,OK,N/A,N/A,OK,OK,OK,OK,MISSING,MISSING,OK,OK,OK,OK,OK,OK,OK,N/A,N/A,N/A,OK,OK,OK,THIN,THIN,MISSING,MISSING,MISSING,81.5,True,
